Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
Aura,MLS,MLS_CO_215hPa_Night,2km,5km,png,"Geographic, Web Mercator",
Aqua,AIRS,"Carbon Monoxide (L2, 500hPa, Day)   ",AIRS_L2_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Day,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Carbon Monoxide (L2, 500hPa,Night)   ",AIRS_L2_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Night,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Carbon Monoxide (L3, 500hPa, Day, Daily) ",AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Carbon Monoxide (L3, 500hPa, Night, Daily) ", AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Daily_Night ,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Carbon Monoxide (L3, 500 hPa, Day, Monthly) ",AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Carbon Monoxide (L3, 500 hPa, Night, Monthly) ",AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Monthly_Night,2km,,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (L2, Daily, Day/Night, Total Column) ",MOPITT_CO_Daily_Total_Column_L2,2km,22km,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Daily, Day, Surface Mixing Ratio) ", MOPITT_CO_Daily_Surface_Mixing_Ratio_Day ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Daily, Night, Surface Mixing Ratio) ", MOPITT_CO_Daily_Surface_Mixing_Ratio_Night ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Monthly, Day, Surface Mixing Ratio) ", MOPITT_CO_Monthly_Surface_Mixing_Ratio_Day ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Monthly, Night Surface Mixing Ratio) ", MOPITT_CO_Monthly_Surface_Mixing_Ratio_Night ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Daily, Day, Total Column) ", MOPITT_CO_Daily_Total_Column_Day ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Daily, Night, Total Column) ", MOPITT_CO_Daily_Total_Column_Night,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Monthly, Day, Total Column) ", MOPITT_CO_Monthly_Total_Column_Day ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,MOPITT,"Carbon Monoxide (Monthly, Night, Total Column) ", MOPITT_CO_Monthly_Total_Column_Night ,2km,1 degree,png,"Geographic, Web Mercator"
,MERRA-2,Carbon Monoxide Emission ENSEMBLE (Monthly) ,MERRA2_Carbon_Monoxide_Emission_Monthly,2km,,png,"Geographic, Web Mercator"
Terra,MODIS,Cloud Effective Radius   ,MODIS_Terra_Cloud_Effective_Radius,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Effective Radius PCL   ,MODIS_Terra_Cloud_Effective_Radius_PCL, 1km,1km, png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Effective Radius 3.7 micron   ,MODIS_Terra_Cloud_Effective_Radius_37,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Effective Radius 3.7 micron PCL   ,MODIS_Terra_Cloud_Effective_Radius_37_PCL, 1km, 1km, png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Effective Radius (1.6 micron) ,MODIS_Terra_Cloud_Effective_Radius_16, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,"Cloud Effective Radius (1.6 micron, PCL) ",MODIS_Terra_Cloud_Effective_Radius_16_PCL, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,"Cloud Effective Radius (2.1 micron, 1621 Algorithm) ",MODIS_Terra_Cloud_Effective_Radius_1621, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,"Cloud Effective Radius (2.1 micron, PCL, 1621 Algorithm) ",MODIS_Terra_Cloud_Effective_Radius_PCL_1621, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Effective Radius   ,MODIS_Aqua_Cloud_Effective_Radius,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS ,MODIS_Aqua_Cloud_Effective_Radius_PCL,1km, 1km, png,"Geographic, Web Mercator, Arctic, Antarctic",
Aqua,MODIS,Cloud Effective Radius 3.7 micron   ,MODIS_Aqua_Cloud_Effective_Radius_37,1km,1km, png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS ,MODIS_Aqua_Cloud_Effective_Radius_37_PCL, 1km, 1km, png,"Geographic, Web Mercator, Arctic, Antarctic",
Aqua,MODIS,Cloud Effective Radius (1.6 micron) ,MODIS_Aqua_Cloud_Effective_Radius_16, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,"Cloud Effective Radius (1.6 micron, PCL) ",MODIS_Aqua_Cloud_Effective_Radius_16_PCL, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,"Cloud Effective Radius (2.1 micron, 1621 Algorithm) ",MODIS_Aqua_Cloud_Effective_Radius_1621, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,"Cloud Effective Radius (2.1 micron, PCL, 1621 Algorithm) ",MODIS_Aqua_Cloud_Effective_Radius_PCL_1621, 1km, 1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Suomi NPP,VIIRS,Cloud Effective Radius,VIIRS_SNPP_Cloud_Effective_Radius,1km,750m,png,"Geographic, Web Mercator"
Terra,MODIS,Cloud Fraction (Day)   ,MODIS_Terra_Cloud_Fraction_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Fraction (Night)   ,MODIS_Terra_Cloud_Fraction_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Fraction (Day)   ,MODIS_Aqua_Cloud_Fraction_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Fraction (Night)   ,MODIS_Aqua_Cloud_Fraction_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,AIRS,"Total Cloud Fraction (L2, Day) ",AIRS_L2_Total_Cloud_Fraction_Day,2km,13.5km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Total Cloud Fraction (L2, Night) ",AIRS_L2_Total_Cloud_Fraction_Night,2km,13.5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,AMSR2_Cloud_Liquid_Water_Day,2km,5km,png,"Geographic, Web Mercator",
GCOM-W1,AMSR2,AMSR2_Cloud_Liquid_Water_Night,2km,5km,png,"Geographic, Web Mercator",
DMSP-F8,SSMI,"Cloud Liquid Water over Oceans (Ascending, Local AM)   ",SSMI_DMSP_F8_Cloud_Liquid_Water_Over_Oceans_Ascending,2km,0.25 degrees,png,Geographic
DMSP-F8,SSMI,"Cloud Liquid Water over Oceans (Descending, Local PM)    ", SSMI_DMSP_F8_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F10_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI,"Cloud Liquid Water over Oceans (Descending, Local AM)    ", SSMI_DMSP_F10_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F11_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI,"Cloud Liquid Water over Oceans (Descending, Local AM)    ", SSMI_DMSP_F11_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F13_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI,"Cloud Liquid Water over Oceans (Descending, Local AM)    ", SSMI_DMSP_F13_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F14_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI,"Cloud Liquid Water over Oceans (Descending, Local AM)    ", SSMI_DMSP_F14_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F15_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI,"Cloud Liquid Water over Oceans (Descending, Local AM)    ",SSMI_DMSP_F15_Cloud_Liquid_Water_Over_Oceans_Descending,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F16_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS,"Cloud Liquid Water over Oceans (Descending, Local AM)    ", SSMI_DMSP_F16_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS,"Cloud Liquid Water over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F17_Cloud_Liquid_Water_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS,"Cloud Liquid Water over Oceans (Descending, Local AM)    ", SSMI_DMSP_F17_Cloud_Liquid_Water_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
Terra,MODIS,Cloud Multi Layer Flag   ,MODIS_Terra_Cloud_Multi_Layer_Flag,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Multi Layer Flag    ,MODIS_Aqua_Cloud_Multi_Layer_Flag,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Phase Infrared (Day)   ,MODIS_Terra_Cloud_Phase_Infrared_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Phase Infrared (Night)   ,MODIS_Terra_Cloud_Phase_Infrared_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Phase Infrared (Day)   ,MODIS_Aqua_Cloud_Phase_Infrared_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Phase Infrared (Day)   ,MODIS_Aqua_Cloud_Phase_Infrared_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Phase Optical Properties   ,MODIS_Terra_Cloud_Phase_Optical_Properties,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Phase Optical Properties    ,MODIS_Aqua_Cloud_Phase_Optical_Properties,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Optical Thickness   ,MODIS_Terra_Cloud_Optical_Thickness,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Optical Thickness PCL    ,MODIS_Terra_Cloud_Optical_Thickness_PCL,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Optical Thickness (1.6 microns) ,MODIS_Terra_Cloud_Optical_Thickness_16,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,"Cloud Optical Thickness (1.6 microns, PCL) ",MODIS_Terra_Cloud_Optical_Thickness_16_PCL,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,"Cloud Optical Thickness (1.6 microns, 1621 Algorithm) ",MODIS_Terra_Cloud_Optical_Thickness_1621,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,"Cloud Optical Thickness (1.6 microns, PCL, 1621 Algorithm) ",MODIS_Terra_Cloud_Optical_Thickness_PCL_1621,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Optical Thickness   ,MODIS_Aqua_Cloud_Optical_Thickness,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Optical Thickness PCL    ,MODIS_Aqua_Cloud_Optical_Thickness_PCL,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Optical Thickness (1.6 microns) ,MODIS_Aqua_Cloud_Optical_Thickness_16,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,"Cloud Optical Thickness (1.6 microns, PCL) ",MODIS_Aqua_Cloud_Optical_Thickness_16_PCL,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,"Cloud Optical Thickness (1.6 microns, 1621 Algorithm) ",MODIS_Aqua_Cloud_Optical_Thickness_1621,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,"Cloud Optical Thickness (1.6 microns, PCL, 1621 Algorithm) ",MODIS_Aqua_Cloud_Optical_Thickness_PCL_1621,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Suomi NPP,VIIRS,Cloud Optical Thickness,VIIRS_SNPP_Cloud_Optical_Thickness,1km,750m,png,"Geographic, Web Mercator"
Terra,MODIS,Cloud Top Height (Day)   ,MODIS_Terra_Cloud_Top_Height_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Top Height (Night)   ,MODIS_Terra_Cloud_Top_Height_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Top Height (Day)   ,MODIS_Aqua_Cloud_Top_Height_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Top Height (Night)   ,MODIS_Aqua_Cloud_Top_Height_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Suomi NPP,VIIRS,Cloud Top Height (Day),VIIRS_SNPP_Cloud_Top_Height_Day,1km,750m,png,"Geographic, Web Mercator"
Suomi NPP,VIIRS,Cloud Top Height (Night),VIIRS_SNPP_Cloud_Top_Height_Night,1km,750m,png,"Geographic, Web Mercator"
Aqua,AIRS,"Cloud Top Height (L2, Day) ",AIRS_L2_Cloud_Top_Height_Day,2km,13.5km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Cloud Top Height (L2, Night) ",AIRS_L2_Cloud_Top_Height_Night,2km,13.5km,png,"Geographic, Web Mercator"
Terra,MISR,"Cloud Stereo Height (No Wind Correction, < 0.5 km, Monthly)",MISR_Cloud_Stereo_Height_Histogram_Bin_0.5km_Monthly ,2km,0.5 degrees,png,Geographic
Terra,MISR,2km,0.5 degrees,png,Geographic,,
Terra,MODIS,Cloud Top Temperature (Day)   ,MODIS_Terra_Cloud_Top_Temp_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Top Temperature (Night)   ,MODIS_Terra_Cloud_Top_Temp_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Top Temperature (Day)   ,MODIS_Aqua_Cloud_Top_Temp_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Top Temperature (Night)   ,MODIS_Aqua_Cloud_Top_Temp_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Top Pressure (Day)   ,MODIS_Terra_Cloud_Top_Pressure_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Top Pressure (Night)   ,MODIS_Terra_Cloud_Top_Pressure_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Top Pressure (Day)   ,MODIS_Aqua_Cloud_Top_Pressure_Day,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Top Pressure (Night)   ,MODIS_Aqua_Cloud_Top_Pressure_Night,2km,5km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aura,OMI,Cloud Pressure   ,OMI_Cloud_Pressure,2km,25km,png,"Geographic, Web Mercator"
Terra,MODIS,Cloud Water Path   ,MODIS_Terra_Cloud_Water_Path,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Terra,MODIS,Cloud Water Path PCL    ,MODIS_Terra_Cloud_Water_Path_PCL,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Water Path    ,MODIS_Aqua_Cloud_Water_Path,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
Aqua,MODIS,Cloud Water Path PCL    ,MODIS_Aqua_Cloud_Water_Path_PCL,1km,1km,png,"Geographic, Web Mercator, Arctic, Antarctic"
,MERRA-2,Convective Rainwater Source at 700hPa ,MERRA2_Convective_Rainwater_Source_700hPa_Monthly,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Dust Score (L2, Day)   ",AIRS_L2_Dust_Score_Day,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Dust Score (L2, Night)    ",AIRS_L2_Dust_Score_Night,2km,45km,png,"Geographic, Web Mercator"
,MERRA-2,Dust Surface Mass Concentration PM2.5 (Monthly) ,MERRA2_Dust_Surface_Mass_Concentration_PM25_Monthly,2km,,png,"Geographic, Web Mercator"
,MERRA-2,Dust Surface Mass Concentration (Monthly) ,MERRA2_Dust_Surface_Mass_Concentration_Monthly,2km,,png,"Geographic, Web Mercator"
,MERRA-2,"Total Dust Deposition, Dry+Wet All Bins (Monthly) ",MERRA2_Total_Dust_Deposition_Dry_Wet_Monthly,2km,,png,"Geographic, Web Mercator"
,MERRA-2,Evaporation from Turbulence ,MERRA2_Evaporation_from_Turbulence_Monthly,2km,,png,"Geographic, Web Mercator"
Terra,CERES,Surface CRE Net Longwave Flux (Monthly) ,CERES_EBAF_Surface_CRE_Net_Longwave_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Longwave Flux (Monthly, Energy Balanced and Filled, Down, All-Sky) ",CERES_EBAF_Surface_Longwave_Flux_Down_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Longwave Flux (Monthly, Energy Balanced and Filled, Down, Clear-Sky) ",CERES_EBAF_Surface_Longwave_Flux_Down_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Longwave Flux (Monthly, Energy Balanced and Filled, Up, All-Sky) ",CERES_EBAF_Surface_Longwave_Flux_Up_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Longwave Flux (Monthly, Energy Balanced and Filled, Up, Clear-Sky) ",CERES_EBAF_Surface_Longwave_Flux_Up_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Net Longwave Flux (Monthly, Energy Balanced and Filled, All-Sky) ",CERES_EBAF_Surface_Net_Longwave_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Net Longwave Flux (Monthly, Energy Balanced and Filled, Clear-Sky) ",CERES_EBAF_Surface_Net_Longwave_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Longwave Surface Flux (Monthly, Up, All-Sky) ",CERES_Terra_Surface_Longwave_Flux_Up_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Longwave Surface Flux (Monthly, Up, Clear-Sky) ",CERES_Terra_Surface_Longwave_Flux_Up_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Longwave Surface Flux (Monthly, Down, All-Sky) ",CERES_Terra_Surface_Longwave_Flux_Down_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Longwave Surface Flux (Monthly, Down, Clear-Sky) ",CERES_Terra_Surface_Longwave_Flux_Down_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Net Total Flux (Monthly, Energy Balanced and Filled, All-Sky) ",CERES_EBAF_Surface_Net_Total_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Net Total Flux (Monthly, Energy Balanced and Filled, Clear-Sky) ",CERES_EBAF_Surface_Net_Total_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,Surface CRE Net Shortwave Flux (Monthly) ,CERES_EBAF_Surface_CRE_Net_Shortwave_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Shortwave Flux (Monthly, Energy Balanced and Filled, Down, All-Sky) ",CERES_EBAF_Surface_Shortwave_Flux_Down_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Shortwave Flux (Monthly, Energy Balanced and Filled, Down, Clear-Sky) ",CERES_EBAF_Surface_Shortwave_Flux_Down_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Shortwave Flux (Monthly, Energy Balanced and Filled, Up, All-Sky) ",CERES_EBAF_Surface_Shortwave_Flux_Up_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Shortwave Flux (Monthly, Energy Balanced and Filled, Up, Clear-Sky) ",CERES_EBAF_Surface_Shortwave_Flux_Up_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Net Shortwave Flux (Monthly, Energy Balanced and Filled, All-Sky) ",CERES_EBAF_Surface_Net_Shortwave_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface Net Shortwave Flux (Monthly, Energy Balanced and Filled, Clear-Sky) ",CERES_EBAF_Surface_Net_Shortwave_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,Surface CRE Net Total Flux (Monthly) ,CERES_EBAF_Surface_CRE_Net_Total_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Shortwave Surface Flux (Monthly, Up, All-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Up_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Shortwave Surface Flux (Monthly, Up, Clear-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Up_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Shortwave Surface Flux (Monthly, Down, All-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Down_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Untuned Shortwave Surface Flux (Monthly, Down, Clear-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Down_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Direct Shortwave Surface Flux (Monthly, All-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Direct_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Direct Shortwave Surface Flux (Monthly, Clear-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Direct_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Diffuse Shortwave Surface Flux (Monthly, All-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Diffuse_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Diffuse Shortwave Surface Flux (Monthly, Clear-Sky) ",CERES_Terra_Surface_Shortwave_Flux_Diffuse_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Surface UV Index (Monthly, All-Sky) ",CERES_Terra_Surface_UV_Index_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Shortwave Surface Flux (Monthly, Up, All-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Up_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Shortwave Surface Flux (Monthly, Up, Clear-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Up_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Shortwave Surface Flux (Monthly, Down, All-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Down_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Shortwave Surface Flux (Monthly, Down, Clear-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Down_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Direct Shortwave Surface Flux (Monthly, All-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Direct_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Direct Shortwave Surface Flux (Monthly, Clear-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Direct_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Diffuse Shortwave Surface Flux (Monthly, All-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Diffuse_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Diffuse Shortwave Surface Flux (Monthly, Clear-Sky) ",CERES_Combined_Surface_Shortwave_Flux_Diffuse_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Longwave Surface Flux (Monthly, Up, All-Sky) ",CERES_Combined_Surface_Longwave_Flux_Up_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Longwave Surface Flux (Monthly, Up, Clear-Sky) ",CERES_Combined_Surface_Longwave_Flux_Up_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Longwave Surface Flux (Monthly, Down, All-Sky) ",CERES_Combined_Surface_Longwave_Flux_Down_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"Untuned Longwave Surface Flux (Monthly, Down, Clear-Sky) ",CERES_Combined_Surface_Longwave_Flux_Down_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
